epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
186	0.8680	0.2873	37944	2.45 hr	32.59s	14.00s	46.61s
187	0.8679	0.2892	38148	2.46 hr	32.52s	13.98s	46.52s
188	0.8680	0.2931	38352	2.48 hr	32.59s	13.99s	46.60s
189	0.8688	0.2829	38556	2.49 hr	32.66s	14.02s	46.69s
190	0.8688	0.2835	38760	2.50 hr	32.73s	13.97s	46.72s
191	0.8690	0.2822	38964	2.52 hr	32.57s	13.97s	46.57s
192	0.8694	0.2795	39168	2.53 hr	32.39s	14.00s	46.40s
193	0.8689	0.2754	39372	2.54 hr	32.56s	13.98s	46.56s
194	0.8697	0.2938	39576	2.55 hr	32.43s	13.98s	46.43s
195	0.8700	0.2802	39780	2.57 hr	32.74s	13.98s	46.74s
196	0.8690	0.2769	39984	2.58 hr	32.43s	13.96s	46.40s
197	0.8696	0.2900	40188	2.59 hr	32.76s	14.00s	46.78s
198	0.8709	0.2827	40392	2.61 hr	32.66s	14.00s	46.68s
199	0.8705	0.2913	40596	2.62 hr	32.47s	13.99s	46.48s
200	0.8703	0.2887	40800	2.63 hr	32.63s	13.96s	46.62s
201	0.8709	0.2758	41004	2.65 hr	32.81s	13.97s	46.80s
202	0.8711	0.2782	41208	2.66 hr	32.48s	13.99s	46.49s
203	0.8707	0.2721	41412	2.67 hr	32.50s	13.96s	46.48s
204	0.8708	0.2845	41616	2.69 hr	32.71s	14.00s	46.73s
205	0.8705	0.2786	41820	2.70 hr	32.49s	14.00s	46.51s
206	0.8720	0.2733	42024	2.71 hr	32.51s	13.98s	46.51s
207	0.8715	0.2747	42228	2.72 hr	32.61s	14.00s	46.63s
208	0.8709	0.2742	42432	2.74 hr	32.57s	14.00s	46.59s
209	0.8711	0.2779	42636	2.75 hr	32.81s	13.98s	46.80s
210	0.8710	0.2742	42840	2.76 hr	32.65s	13.98s	46.65s
211	0.8716	0.2722	43044	2.78 hr	32.57s	13.96s	46.55s
212	0.8720	0.2675	43248	2.79 hr	32.50s	13.98s	46.50s
213	0.8723	0.2824	43452	2.80 hr	32.35s	14.00s	46.37s
214	0.8722	0.2848	43656	2.82 hr	32.58s	14.00s	46.60s
215	0.8722	0.2767	43860	2.83 hr	32.55s	14.00s	46.57s
216	0.8727	0.2736	44064	2.84 hr	32.43s	13.99s	46.44s
217	0.8722	0.2714	44268	2.86 hr	32.54s	13.99s	46.56s
218	0.8721	0.2717	44472	2.87 hr	32.58s	13.99s	46.59s
219	0.8724	0.2735	44676	2.88 hr	32.83s	13.99s	46.84s
220	0.8722	0.2710	44880	2.89 hr	32.61s	14.01s	46.64s
221	0.8722	0.2663	45084	2.91 hr	32.66s	14.01s	46.69s
222	0.8727	0.2729	45288	2.92 hr	32.48s	13.97s	46.48s
223	0.8729	0.2665	45492	2.93 hr	32.57s	13.99s	46.58s
224	0.8726	0.2686	45696	2.95 hr	32.72s	13.99s	46.74s
225	0.8727	0.2701	45900	2.96 hr	32.65s	14.00s	46.67s
226	0.8729	0.2698	46104	2.97 hr	32.61s	14.00s	46.63s
227	0.8729	0.2651	46308	2.99 hr	32.46s	13.99s	46.47s
228	0.8728	0.2699	46512	3.00 hr	32.55s	13.99s	46.56s
229	0.8730	0.2786	46716	3.01 hr	32.68s	13.96s	46.66s
230	0.8731	0.2745	46920	3.03 hr	34.26s	13.98s	48.27s
231	0.8729	0.2706	47124	3.04 hr	34.17s	13.99s	48.17s
232	0.8728	0.2658	47328	3.05 hr	32.67s	13.98s	46.67s
233	0.8730	0.2682	47532	3.07 hr	32.44s	14.00s	46.46s
234	0.8731	0.2716	47736	3.08 hr	32.76s	13.98s	46.76s
235	0.8729	0.2728	47940	3.09 hr	32.51s	14.00s	46.53s
236	0.8731	0.2645	48144	3.10 hr	32.61s	13.98s	46.61s
237	0.8732	0.2805	48348	3.12 hr	32.55s	13.95s	46.52s
238	0.8730	0.2675	48552	3.13 hr	32.80s	13.99s	46.81s
239	0.8730	0.2700	48756	3.14 hr	32.58s	13.97s	46.57s
240	0.8730	0.2743	48960	3.16 hr	32.56s	13.98s	46.56s
241	0.8730	0.2609	49164	3.17 hr	32.44s	14.02s	46.47s
242	0.8732	0.2773	49368	3.18 hr	32.75s	13.98s	46.75s
243	0.8731	0.2659	49572	3.20 hr	32.60s	13.99s	46.60s
244	0.8731	0.2617	49776	3.21 hr	32.41s	14.00s	46.43s
245	0.8731	0.2808	49980	3.22 hr	32.79s	13.98s	46.80s
246	0.8731	0.2654	50184	3.24 hr	32.46s	13.97s	46.45s
